step	sent_id	masked_sent	label	correct	probability	surprisal	description
0	0	the author knows many different foreign languages and [MASK] to watch television shows	likes	True	1.7321226550848223e-05	15.817099571228027	sing_MS_LMV_LMV
0	0	the author knows many different foreign languages and [MASK] to watch television shows	like	False	3.935292625101283e-05	14.633169174194336	sing_MS_LMV_LMV
0	1	the author knows many different foreign languages and [MASK] twenty three years old	is	True	2.7244261218584143e-05	15.163687705993652	sing_MS_LMV_LMV
0	1	the author knows many different foreign languages and [MASK] twenty three years old	are	False	4.914024248137139e-05	14.312735557556152	sing_MS_LMV_LMV
0	2	the author knows many different foreign languages and [MASK] playing tennis with colleagues	enjoys	True	3.620232018874958e-05	14.753558158874512	sing_MS_LMV_LMV
0	2	the author knows many different foreign languages and [MASK] playing tennis with colleagues	enjoy	False	2.025100911851041e-05	15.591646194458008	sing_MS_LMV_LMV
0	3	the author knows many different foreign languages and [MASK] in a journal every day	writes	True	3.469853982096538e-05	14.814765930175781	sing_MS_LMV_LMV
0	3	the author knows many different foreign languages and [MASK] in a journal every day	write	False	2.372483504586853e-05	15.363242149353027	sing_MS_LMV_LMV
0	4	the author likes to watch television shows and [MASK] many different foreign languages	knows	True	4.424818325787783e-05	14.464022636413574	sing_MS_LMV_LMV
0	4	the author likes to watch television shows and [MASK] many different foreign languages	know	False	3.732106415554881e-05	14.709650039672852	sing_MS_LMV_LMV
0	5	the author likes to watch television shows and [MASK] twenty three years old	is	True	2.8423262847354636e-05	15.102568626403809	sing_MS_LMV_LMV
0	5	the author likes to watch television shows and [MASK] twenty three years old	are	False	4.838894528802484e-05	14.334962844848633	sing_MS_LMV_LMV
0	6	the author likes to watch television shows and [MASK] playing tennis with colleagues	enjoys	True	4.033040750073269e-05	14.597772598266602	sing_MS_LMV_LMV
0	6	the author likes to watch television shows and [MASK] playing tennis with colleagues	enjoy	False	2.041284642473329e-05	15.58016300201416	sing_MS_LMV_LMV
0	7	the author likes to watch television shows and [MASK] in a journal every day	writes	True	3.589820335037075e-05	14.765728950500488	sing_MS_LMV_LMV
0	7	the author likes to watch television shows and [MASK] in a journal every day	write	False	2.4962886527646333e-05	15.28985595703125	sing_MS_LMV_LMV
0	8	the author is twenty three years old and [MASK] many different foreign languages	knows	True	4.798962618224323e-05	14.346918106079102	sing_MS_LMV_LMV
0	8	the author is twenty three years old and [MASK] many different foreign languages	know	False	3.753534838324413e-05	14.701390266418457	sing_MS_LMV_LMV
0	9	the author is twenty three years old and [MASK] to watch television shows	likes	True	1.689112832536921e-05	15.853374481201172	sing_MS_LMV_LMV
0	9	the author is twenty three years old and [MASK] to watch television shows	like	False	3.698935324791819e-05	14.722530364990234	sing_MS_LMV_LMV
0	10	the author is twenty three years old and [MASK] playing tennis with colleagues	enjoys	True	4.0096358134178445e-05	14.606169700622559	sing_MS_LMV_LMV
0	10	the author is twenty three years old and [MASK] playing tennis with colleagues	enjoy	False	1.8815240764524788e-05	15.697738647460938	sing_MS_LMV_LMV
0	11	the author is twenty three years old and [MASK] in a journal every day	writes	True	3.478860526229255e-05	14.811025619506836	sing_MS_LMV_LMV
0	11	the author is twenty three years old and [MASK] in a journal every day	write	False	2.5219151211786084e-05	15.275120735168457	sing_MS_LMV_LMV
0	12	the author enjoys playing tennis with colleagues and [MASK] many different foreign languages	knows	True	4.9816397222457454e-05	14.293020248413086	sing_MS_LMV_LMV
0	12	the author enjoys playing tennis with colleagues and [MASK] many different foreign languages	know	False	3.848989217658527e-05	14.6651611328125	sing_MS_LMV_LMV
0	13	the author enjoys playing tennis with colleagues and [MASK] to watch television shows	likes	True	1.7120388292823918e-05	15.833925247192383	sing_MS_LMV_LMV
0	13	the author enjoys playing tennis with colleagues and [MASK] to watch television shows	like	False	3.820546407951042e-05	14.675861358642578	sing_MS_LMV_LMV
0	14	the author enjoys playing tennis with colleagues and [MASK] twenty three years old	is	True	2.8146385375293903e-05	15.116690635681152	sing_MS_LMV_LMV
0	14	the author enjoys playing tennis with colleagues and [MASK] twenty three years old	are	False	5.113974475534633e-05	14.255195617675781	sing_MS_LMV_LMV
0	15	the author enjoys playing tennis with colleagues and [MASK] in a journal every day	writes	True	3.55058946297504e-05	14.78158187866211	sing_MS_LMV_LMV
0	15	the author enjoys playing tennis with colleagues and [MASK] in a journal every day	write	False	2.326012145204004e-05	15.3917818069458	sing_MS_LMV_LMV
0	16	the author writes in a journal every day and [MASK] many different foreign languages	knows	True	2.1212719730101526e-05	15.524710655212402	sing_MS_LMV_LMV
0	16	the author writes in a journal every day and [MASK] many different foreign languages	know	False	4.24600912083406e-05	14.52353286743164	sing_MS_LMV_LMV
0	17	the author writes in a journal every day and [MASK] to watch television shows	likes	True	4.4551066821441054e-05	14.454180717468262	sing_MS_LMV_LMV
0	17	the author writes in a journal every day and [MASK] to watch television shows	like	False	1.565145248605404e-05	15.963343620300293	sing_MS_LMV_LMV
0	18	the author writes in a journal every day and [MASK] twenty three years old	is	True	1.858889481809456e-05	15.71519947052002	sing_MS_LMV_LMV
0	18	the author writes in a journal every day and [MASK] twenty three years old	are	False	2.6040932425530627e-05	15.228858947753906	sing_MS_LMV_LMV
0	19	the author writes in a journal every day and [MASK] playing tennis with colleagues	enjoys	True	1.907396290334873e-05	15.678035736083984	sing_MS_LMV_LMV
0	19	the author writes in a journal every day and [MASK] playing tennis with colleagues	enjoy	False	1.622520539967809e-05	15.91140365600586	sing_MS_LMV_LMV
